,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,1.8038149815800244,,,,,,,,,,,752319.0,550840,0.0,0,0,0,0.0,0,0.0,2,,,,,,,,,,,-2,399440.0,399440.0,399440.0,530136.0,752319.0,183864,183864,183864,244024,346296,32.48412850000002,32.48412850000002,32.48412850000002,61.41094679999999,73.94623290000001,0.0,3.6824339999999998,2.443,,,,,,,,,,,3.68,0.0,1576440306.523,1576440304.045,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-1-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",73.94623290000001
1,-0.008,,,,,,,,,,,1001437.0,-1,0.0,0,0,1,0.0,0,0.0,2,,,,,,,,,,,-2,445537.0,445537.0,445537.0,628657.0,1001437.0,204920,204920,204920,289144,460600,19.516397000000005,19.516397000000005,19.516397000000005,56.181229000000016,73.6078218,2.50600004196167,3.6795120000000003,0.001,,,,,,,,,,,7.36,3.68,1576440306.5830002,1576440306.551,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-2-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",73.6078218
2,-0.008,1.5349133154602321,,,,,,,,,,975669.0,-1,3.6500002670288088,0,0,2,752319.0,2,73.94623290000001,2,2.0,,,,,,,,,,0,648380.0,423575.0,975669.0,2350946.0,2350946.0,589944,385400,887736,2139064,2139064,56.34269310000003,18.043656100000003,72.95143930000002,100.0,100.0,3.390000104904175,7.278989,0.001,3.357,,,,,,,,,,14.64,7.36,1576440310.027,1576440309.971,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-3-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",72.95143930000002
3,-0.008,2.3886478688524586,,1.5349133154602321,,,,,,,,1141503.0,-1,6.385000019073487,0,0,3,1001437.0,2,73.6078218,2,2.0,,2.0,,,,,,,,0,708830.0,479382.0,1141503.0,2786973.0,2786973.0,325240,219960,523768,1278776,1278776,74.25352269999998,59.15253169999998,84.2480023,100.0,100.0,0.9819997024536131,3.670723,0.001,4.575,,3.357,,,,,,,,18.31,14.64,1576440315.5089998,1576440315.498,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-4-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",84.2480023
4,-0.008,39.47766459627329,,2.3886478688524586,1.5349133154602321,,,,,,,1057121.0,-1,9.843999814987182,0,0,4,975669.0,2,72.95143930000002,2,2.0,,2.0,2.0,,,,,,,0,676590.0,479764.0,1057121.0,2546442.0,2546442.0,310200,219960,484664,1167480,1167480,76.36072669999999,62.03566590000001,84.88282730000003,100.0,100.0,0.0,3.6678,0.001,0.161,,4.575,3.357,,,,,,,21.98,18.31,1576440315.72,1576440315.709,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-5-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",84.88282730000003
5,-0.008,53.45572881355932,,39.47766459627329,2.3886478688524586,1.5349133154602321,,,,,,887248.0,-1,13.360999937057496,0,0,5,1141503.0,2,84.2480023,2,2.0,,2.0,2.0,2.0,,,,,,0,572074.0,421053.0,887248.0,2036321.0,2036321.0,262072,192888,406456,932856,932856,78.85040649999999,64.92466210000002,85.84167699999995,100.0,100.0,0.0,3.6648669999999997,0.001,0.11800000000000001,,0.161,4.575,3.357,,,,,,25.64,21.98,1576440315.873,1576440315.862,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-6-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",85.84167699999995
6,-0.008,53.594150537634405,,53.45572881355932,39.47766459627329,2.3886478688524586,1.5349133154602321,,,,,848528.0,-1,16.901999979019166,0,0,6,1057121.0,2,84.88282730000003,2,2.0,,2.0,2.0,2.0,2.0,,,,,0,572530.0,408246.0,848528.0,1847376.0,1847376.0,262072,186872,388408,845624,845624,76.85469170000002,60.805932300000016,85.1618397,100.0,100.0,0.0,3.661945,0.001,0.093,,0.11800000000000001,0.161,4.575,3.357,,,,,29.3,25.64,1576440315.994,1576440315.981,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-7-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",85.1618397
7,-0.008,53.63127272727273,,53.594150537634405,53.45572881355932,39.47766459627329,2.3886478688524586,1.5349133154602321,,,,890053.0,-1,20.180000009536744,0,0,7,887248.0,2,85.84167699999995,2,2.0,,2.0,2.0,2.0,2.0,2.0,,,,0,556589.0,386588.0,890053.0,1988520.0,1988520.0,256056,177848,409464,914808,914808,53.17095430000002,15.147415799999996,71.24582179999997,100.0,100.0,0.0,3.6803559999999997,0.001,0.088,,0.093,0.11800000000000001,0.161,4.575,3.357,,,,32.99,29.31,1576440316.3739998,1576440316.363,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-8-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",71.24582179999997
8,-0.008,52.8600975609756,,53.63127272727273,53.594150537634405,53.45572881355932,39.47766459627329,2.3886478688524586,1.5349133154602321,,,988918.0,-1,20.268999938964846,0,0,8,848528.0,2,85.1618397,2,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,0,648645.0,426159.0,988918.0,2448167.0,2448167.0,298168,195896,454584,1125368,1125368,53.17095430000002,15.147415799999996,71.24582179999997,100.0,100.0,0.0,3.677422,0.001,0.082,,0.088,0.093,0.11800000000000001,0.161,4.575,3.357,,,36.67,32.99,1576440319.975,1576440319.964,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-9-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",71.24582179999997
9,-0.008,44.0439674796748,,52.8600975609756,53.63127272727273,53.594150537634405,53.45572881355932,39.47766459627329,2.3886478688524586,1.5349133154602321,,1074841.0,-1,20.349000034332278,0,0,9,890053.0,2,71.24582179999997,2,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0,701552.0,472340.0,1074841.0,2620385.0,2620385.0,322232,216952,493688,1203576,1203576,54.9077069,17.613832300000006,71.9281101,100.0,100.0,0.0,3.6745,0.001,0.123,,0.082,0.088,0.093,0.11800000000000001,0.161,4.575,3.357,,40.33,36.66,1576440323.698,1576440323.564,"https://e1v-h.phncdn.com/hls/videos/201904/04/216536581/,1080P_4000K,720P_4000K,480P_2000K,240P_400K,_216536581.mp4.urlset/seg-10-f2-v1-a1.ts?validfrom=1576436689&validto=1576443889&ip=52.59.217.244&hdl=-1&hash=pEEtFHlLyWFT6xAibUK%2FhehGGfo%3D",71.9281101
